year,district,crop,season,area,production
2016,Thirunelveli,Groundnut,Kharif,67.84,196.25
2016,Thirunelveli,Groundnut,Kharif,55.23,264.88
2016,Thirunelveli,Bengal Gram,Kharif,160.76,342.36
2016,Thirunelveli,Bengal Gram,Kharif,102.61,218.59
2017,Thirunelveli,Groundnut,Kharif,128.91,361.62
2017,Thirunelveli,Groundnut,Kharif,70.94,185.91
2017,Thirunelveli,Bengal Gram,Kharif,56.54,196.03
2017,Thirunelveli,Bengal Gram,Kharif,164.41,331.88
2018,Thirunelveli,Groundnut,Kharif,139.54,262.16
2018,Thirunelveli,Groundnut,Kharif,147.69,236.09
2018,Thirunelveli,Bengal Gram,Kharif,151.14,207.7
2018,Thirunelveli,Bengal Gram,Kharif,120.97,256.11
2019,Thirunelveli,Groundnut,Kharif,168.57,310.74
2019,Thirunelveli,Groundnut,Kharif,71.78,207.44
2019,Thirunelveli,Bengal Gram,Kharif,61.33,262.17
2019,Thirunelveli,Bengal Gram,Kharif,158.78,260.95
2020,Thirunelveli,Groundnut,Kharif,125.76,198.64
2020,Thirunelveli,Groundnut,Kharif,114.86,242.39
2020,Thirunelveli,Bengal Gram,Kharif,163.43,311.47
2020,Thirunelveli,Bengal Gram,Kharif,59.36,349.26
2021,Thirunelveli,Groundnut,Kharif,146.69,346.64
2021,Thirunelveli,Groundnut,Kharif,58.56,282.46
2021,Thirunelveli,Bengal Gram,Kharif,71.21,232.87
2021,Thirunelveli,Bengal Gram,Kharif,141.96,341.54
2009,Thirunelveli,Groundnut,Kharif,135.89,247.49
2009,Thirunelveli,Groundnut,Kharif,102.01,358.86
2009,Thirunelveli,Bengal Gram,Kharif,166.83,198.37
2009,Thirunelveli,Bengal Gram,Kharif,128.92,271.25
2010,Thirunelveli,Groundnut,Kharif,70.55,353.61
2010,Thirunelveli,Groundnut,Kharif,128.02,321.04
2010,Thirunelveli,Bengal Gram,Kharif,79.02,312.11
2010,Thirunelveli,Bengal Gram,Kharif,130.95,358.67
2011,Thirunelveli,Groundnut,Kharif,104.89,191.13
2011,Thirunelveli,Groundnut,Kharif,109,272.34
2011,Thirunelveli,Bengal Gram,Kharif,161.13,306.61
2011,Thirunelveli,Bengal Gram,Kharif,99.67,217.76
2012,Thirunelveli,Groundnut,Kharif,88.14,180.72
2012,Thirunelveli,Groundnut,Kharif,124.93,213.57
2012,Thirunelveli,Bengal Gram,Kharif,151.1,279.14
2012,Thirunelveli,Bengal Gram,Kharif,120.8,303.11
2013,Thirunelveli,Groundnut,Kharif,169,253.36
2013,Thirunelveli,Groundnut,Kharif,156.5,341.77
2013,Thirunelveli,Bengal Gram,Kharif,116.63,356.17
2013,Thirunelveli,Bengal Gram,Kharif,62.84,266.8
2014,Thirunelveli,Groundnut,Kharif,82.73,205.37
2014,Thirunelveli,Groundnut,Kharif,111.59,286.26
2014,Thirunelveli,Bengal Gram,Kharif,148.35,296.94
2014,Thirunelveli,Bengal Gram,Kharif,83.41,252.36
2015,Thirunelveli,Groundnut,Kharif,149.99,327.02
2015,Thirunelveli,Groundnut,Kharif,115.57,366.66
2015,Thirunelveli,Bengal Gram,Kharif,127.54,235.44
2015,Thirunelveli,Bengal Gram,Kharif,123.61,316.07
2016,Thirunelveli,Groundnut,Kharif,111.24,233.68
2016,Thirunelveli,Groundnut,Kharif,78.08,278.35
2016,Thirunelveli,Bengal Gram,Kharif,142.65,235.3
2016,Thirunelveli,Bengal Gram,Kharif,126.16,242.57
2017,Thirunelveli,Groundnut,Kharif,93.55,262.35
2017,Thirunelveli,Groundnut,Kharif,54.45,297.61
2017,Thirunelveli,Bengal Gram,Kharif,58.05,241.26
2017,Thirunelveli,Bengal Gram,Kharif,118.6,291.83
2018,Thirunelveli,Groundnut,Kharif,73.85,192.82
2018,Thirunelveli,Groundnut,Kharif,62.41,272.08
2018,Thirunelveli,Bengal Gram,Kharif,86.19,309.51
2018,Thirunelveli,Bengal Gram,Kharif,108.5,336.67
2019,Thirunelveli,Groundnut,Kharif,79.16,216.85
2019,Thirunelveli,Groundnut,Kharif,157.49,290.34
2019,Thirunelveli,Bengal Gram,Kharif,143.01,371.39
2019,Thirunelveli,Bengal Gram,Kharif,81.99,309.28
2020,Thirunelveli,Groundnut,Kharif,108.11,366.35
2020,Thirunelveli,Groundnut,Kharif,60.73,347.82
2020,Thirunelveli,Bengal Gram,Kharif,142.94,301.26
2020,Thirunelveli,Bengal Gram,Kharif,107.54,329.44
2021,Thirunelveli,Groundnut,Kharif,88.79,183.86
2021,Thirunelveli,Groundnut,Kharif,72.7,197.65
2021,Thirunelveli,Bengal Gram,Kharif,67.76,227.77
2021,Thirunelveli,Bengal Gram,Kharif,58.73,375.36
2009,Salem,Groundnut,Rabi,53.71,537.87
2009,Salem,Groundnut,Rabi,69.91,414.99
2009,Salem,Bengal Gram,Rabi,89.07,524.77
2009,Salem,Bengal Gram,Rabi,145.94,378.62
2010,Salem,Groundnut,Rabi,92.09,509.8
2010,Salem,Groundnut,Rabi,139.05,459
2010,Salem,Bengal Gram,Rabi,145.57,456.91
2010,Salem,Bengal Gram,Rabi,141.78,397.27
2011,Salem,Groundnut,Rabi,48.48,434.76
2011,Salem,Groundnut,Rabi,53.86,492.34
2011,Salem,Bengal Gram,Rabi,79.15,414.21
2011,Salem,Bengal Gram,Rabi,141.18,431.29
2012,Salem,Groundnut,Rabi,69.97,466.88
2012,Salem,Groundnut,Rabi,114.98,360.25
2012,Salem,Bengal Gram,Rabi,96.43,379.16
2012,Salem,Bengal Gram,Rabi,63.08,551.47
2013,Salem,Groundnut,Rabi,61.9,456.01
2013,Salem,Groundnut,Rabi,106.86,406.83
2013,Salem,Bengal Gram,Rabi,110.22,442.74
2013,Salem,Bengal Gram,Rabi,41.21,489.9
2014,Salem,Groundnut,Rabi,50.34,549.46
2014,Salem,Groundnut,Rabi,105.45,381.72
2014,Salem,Bengal Gram,Rabi,132.19,547.33
2014,Salem,Bengal Gram,Rabi,129.2,391.69
2015,Salem,Groundnut,Rabi,71.82,356.85
2015,Salem,Groundnut,Rabi,98.23,461.7
2015,Salem,Bengal Gram,Rabi,132.23,389.75
2015,Salem,Bengal Gram,Rabi,89.33,510.74
2016,Salem,Groundnut,Rabi,132.42,434.63
2016,Salem,Groundnut,Rabi,121.67,372.7
2016,Salem,Bengal Gram,Rabi,63.32,361.96
2016,Salem,Bengal Gram,Rabi,41.92,393.03
2017,Salem,Groundnut,Rabi,140.86,495.62
2017,Salem,Groundnut,Rabi,131.59,549.58
2017,Salem,Bengal Gram,Rabi,128.35,552.33
2017,Salem,Bengal Gram,Rabi,105.29,444.36
2018,Salem,Groundnut,Rabi,146.32,527.53
2018,Salem,Groundnut,Rabi,80.95,541.42
2018,Salem,Bengal Gram,Rabi,99.43,512.6
2018,Salem,Bengal Gram,Rabi,126.01,398.82
2019,Salem,Groundnut,Rabi,127.58,498.32
2019,Salem,Groundnut,Rabi,62.71,403.27
2019,Salem,Bengal Gram,Rabi,90.87,413.8
2019,Salem,Bengal Gram,Rabi,101.92,473.48
2020,Salem,Groundnut,Rabi,84.29,548.08
2020,Salem,Groundnut,Rabi,132.02,464.09
2020,Salem,Bengal Gram,Rabi,83.36,429.72
2020,Salem,Bengal Gram,Rabi,140.02,547.8
2021,Salem,Groundnut,Rabi,119.16,416.94
2021,Salem,Groundnut,Rabi,105.99,399.73
2021,Salem,Bengal Gram,Rabi,57.71,532.01
2021,Salem,Bengal Gram,Rabi,51.2,375.54
2009,Salem,Groundnut,Rabi,83.85,494.67
2009,Salem,Groundnut,Rabi,105.7,484.84
2009,Salem,Bengal Gram,Rabi,42.04,430.95
2009,Salem,Bengal Gram,Rabi,125.7,487.08
2010,Salem,Groundnut,Rabi,138.12,485.88
2010,Salem,Groundnut,Rabi,40.03,537.45
2010,Salem,Bengal Gram,Rabi,66.03,374.43
2010,Salem,Bengal Gram,Rabi,143.45,440.02
2011,Salem,Groundnut,Rabi,134.12,429.16
2011,Salem,Groundnut,Rabi,57,481.67
2011,Salem,Bengal Gram,Rabi,97.51,511.03
2011,Salem,Bengal Gram,Rabi,51.44,488.56
2012,Salem,Groundnut,Rabi,70.75,508.46
2012,Salem,Groundnut,Rabi,143.24,557.57
2012,Salem,Bengal Gram,Rabi,102.83,372.45
2012,Salem,Bengal Gram,Rabi,95.77,461.09
2013,Salem,Groundnut,Rabi,67.12,421.93
2013,Salem,Groundnut,Rabi,85.83,418.67
2013,Salem,Bengal Gram,Rabi,147.47,415.49
2013,Salem,Bengal Gram,Rabi,60.66,488.68
2014,Salem,Groundnut,Rabi,87.93,463.78
2014,Salem,Groundnut,Rabi,134.25,428.07
2014,Salem,Bengal Gram,Rabi,100.63,487.58
2014,Salem,Bengal Gram,Rabi,111.01,415.46
2015,Salem,Groundnut,Rabi,67.09,404.13
2015,Salem,Groundnut,Rabi,96.94,460.83
2015,Salem,Bengal Gram,Rabi,130.29,456.44
2015,Salem,Bengal Gram,Rabi,77.58,451.72
2016,Salem,Groundnut,Rabi,51.82,456.61
2016,Salem,Groundnut,Rabi,45.7,478.74
2016,Salem,Bengal Gram,Rabi,97.71,502.98
2016,Salem,Bengal Gram,Rabi,112.63,552.77
2017,Salem,Groundnut,Rabi,55.42,511.61
2017,Salem,Groundnut,Rabi,98.55,505.82
2017,Salem,Bengal Gram,Rabi,65.87,480.13
2017,Salem,Bengal Gram,Rabi,142.25,368.98
2018,Salem,Groundnut,Rabi,125.99,454.99
2018,Salem,Groundnut,Rabi,101.4,458.96
2018,Salem,Bengal Gram,Rabi,87.29,362.45
2018,Salem,Bengal Gram,Rabi,76.88,367.37
2019,Salem,Groundnut,Rabi,37.6,368.77
2019,Salem,Groundnut,Rabi,54.73,521.47
2019,Salem,Bengal Gram,Rabi,127,456.23
2019,Salem,Bengal Gram,Rabi,77.43,532.93
2020,Salem,Groundnut,Rabi,108.72,469.4
2020,Salem,Groundnut,Rabi,119.48,561.68
2020,Salem,Bengal Gram,Rabi,72.82,423.36
2020,Salem,Bengal Gram,Rabi,93.62,433.19
2021,Salem,Groundnut,Rabi,99.21,405.17
2021,Salem,Groundnut,Rabi,86.33,498.92
2021,Salem,Bengal Gram,Rabi,91.98,527.07
2021,Salem,Bengal Gram,Rabi,105.49,526.55
2009,Trichy,Groundnut,Kharif,247.87,421.7
2009,Trichy,Groundnut,Kharif,252.24,329.17
2009,Trichy,Bengal Gram,Kharif,216.84,334.45
2009,Trichy,Bengal Gram,Kharif,96.64,255.9
2010,Trichy,Groundnut,Kharif,213.7,375.44
2010,Trichy,Groundnut,Kharif,121.31,380.19
2010,Trichy,Bengal Gram,Kharif,217.43,228.12
2010,Trichy,Bengal Gram,Kharif,171.33,359.45
2011,Trichy,Groundnut,Kharif,257.93,340.42
2011,Trichy,Groundnut,Kharif,104.25,297.94
2011,Trichy,Bengal Gram,Kharif,185.66,431
2011,Trichy,Bengal Gram,Kharif,211.97,383.44
2012,Trichy,Groundnut,Kharif,97.19,231.01
2012,Trichy,Groundnut,Kharif,131.92,284.54
2012,Trichy,Bengal Gram,Kharif,218.29,257.85
2012,Trichy,Bengal Gram,Kharif,259.92,286.97
2013,Trichy,Groundnut,Kharif,237.01,317.74
2013,Trichy,Groundnut,Kharif,162.06,373.18
2013,Trichy,Bengal Gram,Kharif,188.67,319.77
2013,Trichy,Bengal Gram,Kharif,148.93,286.97
2014,Trichy,Groundnut,Kharif,230.08,380.29
2014,Trichy,Groundnut,Kharif,223.78,473.29
2014,Trichy,Bengal Gram,Kharif,162.09,335.7
2014,Trichy,Bengal Gram,Kharif,127.58,475.09
2015,Trichy,Groundnut,Kharif,217.85,348.06
2015,Trichy,Groundnut,Kharif,260.42,265.23
2015,Trichy,Bengal Gram,Kharif,138.22,358.55
2015,Trichy,Bengal Gram,Kharif,234.7,226.62
2016,Trichy,Groundnut,Kharif,239.99,327.44
2016,Trichy,Groundnut,Kharif,267.41,372.08
2016,Trichy,Bengal Gram,Kharif,161.31,378.63
2016,Trichy,Bengal Gram,Kharif,269.74,395.61
2017,Trichy,Groundnut,Kharif,223.61,400.44
2017,Trichy,Groundnut,Kharif,154.99,363.7
2017,Trichy,Bengal Gram,Kharif,268.42,397.61
2017,Trichy,Bengal Gram,Kharif,209.52,386.01
2018,Trichy,Groundnut,Kharif,223.08,376.65
2018,Trichy,Groundnut,Kharif,212.54,357.5
2018,Trichy,Bengal Gram,Kharif,214.84,375.5
2018,Trichy,Bengal Gram,Kharif,126.47,353.84
2019,Trichy,Groundnut,Kharif,133.91,288.31
2019,Trichy,Groundnut,Kharif,245.45,351.35
2019,Trichy,Bengal Gram,Kharif,125.17,244.55
2019,Trichy,Bengal Gram,Kharif,153.36,381.42
2020,Trichy,Groundnut,Kharif,121.03,475.76
2020,Trichy,Groundnut,Kharif,99.09,289.01
2020,Trichy,Bengal Gram,Kharif,104.53,296.04
2020,Trichy,Bengal Gram,Kharif,137.47,281.68
2021,Trichy,Groundnut,Kharif,271.18,466.09
2021,Trichy,Groundnut,Kharif,250.54,467.7
2021,Trichy,Bengal Gram,Kharif,219.71,360.3
2021,Trichy,Bengal Gram,Kharif,144.91,372.02
2009,Trichy,Groundnut,Kharif,167.01,381.33
2009,Trichy,Groundnut,Kharif,270.51,470
2009,Trichy,Bengal Gram,Kharif,105.77,406.82
2009,Trichy,Bengal Gram,Kharif,220.28,353.45
2010,Trichy,Groundnut,Kharif,261.18,335.6
2010,Trichy,Groundnut,Kharif,144.04,366.6
2010,Trichy,Bengal Gram,Kharif,109.16,246.29
2010,Trichy,Bengal Gram,Kharif,179.67,452.41
2011,Trichy,Groundnut,Kharif,254.1,256.58
2011,Trichy,Groundnut,Kharif,112.26,301.72
2011,Trichy,Bengal Gram,Kharif,206.85,316.26
2011,Trichy,Bengal Gram,Kharif,149.19,258.01
2012,Trichy,Groundnut,Kharif,170.05,238.35
